Series Name,"Time","World","Least developed countries: UN classification","China","United States","United Kingdom","Japan","India"
CO2 emissions (kg per 2010 US$ of GDP),"1960","0.840407621758056","","6.10237341557875","0.939125843563763","0.804028334172287","0.292360419568776","0.872239857433691"
CO2 emissions (kg per 2010 US$ of GDP),"1961","0.808689385329658","","5.93305058350219","0.914775304073855","0.790078296091853","0.317359518136098","0.90941993369526"
CO2 emissions (kg per 2010 US$ of GDP),"1962","0.797824715439222","","5.01221036824609","0.894119945624759","0.785578647072309","0.301796942672967","0.972046460920342"
CO2 emissions (kg per 2010 US$ of GDP),"1963","0.800002157396209","","4.50635897265273","0.894287910965189","0.769005988024027","0.308586357769121","0.984933153633736"
CO2 emissions (kg per 2010 US$ of GDP),"1964","0.793126092814463","","3.81511684600031","0.882323693185445","0.737615161279438","0.305290170661978","0.896178000457474"
CO2 emissions (kg per 2010 US$ of GDP),"1965","0.78470623128301","","3.55373400043089","0.863615476634681","0.734427641683179","0.310661825081783","1.0140687798001"
CO2 emissions (kg per 2010 US$ of GDP),"1966","0.778678450122947","","3.52759011767482","0.851788925578014","0.714991236855519","0.30460988583718","1.05004952226283"
CO2 emissions (kg per 2010 US$ of GDP),"1967","0.769907604246637","","3.10230599536091","0.862237349388946","0.669414227254738","0.32004237604051","0.97651931545667"
CO2 emissions (kg per 2010 US$ of GDP),"1968","0.762327006434473","","3.50146822536464","0.852943325207486","0.659463510466651","0.325583734599334","1.02730840511467"
CO2 emissions (kg per 2010 US$ of GDP),"1969","0.761607109311645","","3.68582422058362","0.8690562909034","0.669503668067947","0.33649016955568","0.981689564341819"
CO2 emissions (kg per 2010 US$ of GDP),"1970","0.782479959649799","","4.12992310165931","0.905688355961952","0.656181039601964","0.39966959384415","0.955173052232929"
CO2 emissions (kg per 2010 US$ of GDP),"1971","0.778999100654369","","4.38258650645676","0.882437817394732","0.641691389537243","0.395991910438635","0.991386043495118"
CO2 emissions (kg per 2010 US$ of GDP),"1972","0.766028716154046","","4.48633421473206","0.878372951905143","0.603746582075786","0.390829720546565","1.05491439338344"
CO2 emissions (kg per 2010 US$ of GDP),"1973","0.759284861102872","","4.32847261398206","0.868835458265086","0.576905684539856","0.3882130623676","1.05170313612834"
CO2 emissions (kg per 2010 US$ of GDP),"1974","0.749690618618476","","4.31579812814734","0.8419149794748","0.553508487671138","0.39308211569768","1.07482244770048"
CO2 emissions (kg per 2010 US$ of GDP),"1975","0.738599011247449","","4.60282228163475","0.808331569429603","0.549167299498797","0.362226435690528","1.07050016730489"
CO2 emissions (kg per 2010 US$ of GDP),"1976","0.742565169271001","","4.88272661093715","0.803012316782479","0.529395979916681","0.363925983685398","1.10135343264569"
CO2 emissions (kg per 2010 US$ of GDP),"1977","0.736341705063007","","4.97214778586635","0.789133091241069","0.521702345905993","0.358712161605125","1.08628331923292"
CO2 emissions (kg per 2010 US$ of GDP),"1978","0.715527490440489","","4.96871056378186","0.770976116068747","0.500976011473087","0.329333956538768","1.0424766069749"
CO2 emissions (kg per 2010 US$ of GDP),"1979","0.725625197731964","","4.72100508365108","0.748916590587246","0.514708669704698","0.330081612424929","1.15370985840388"
CO2 emissions (kg per 2010 US$ of GDP),"1980","0.704193080067775","","4.29808819092637","0.723400811456393","0.471983196859047","0.318332081087671","1.14324937714083"
CO2 emissions (kg per 2010 US$ of GDP),"1981","0.669530734706927","","4.0430009497625","0.677129505376235","0.460521135263416","0.299775780279753","1.16372376766998"
CO2 emissions (kg per 2010 US$ of GDP),"1982","0.660424239753823","0.288271241824945","4.04063848733059","0.655460511553525","0.441521995853331","0.280811260350571","1.16047837859844"
CO2 emissions (kg per 2010 US$ of GDP),"1983","0.641739114450617","0.292259407097282","3.84580015476757","0.631550741525715","0.421495110772395","0.267519142380436","1.1714511962918"
